talk_title,speaker_1_name,speaker_1_company,speaker_2_name,speaker_2_company,speaker_3_name,speaker_3_company
How PyTorch Powers Open Foundational Models — From Language to Vision,Elisa Cascardi,Meta,Nikhila Ravi,Meta,,
"The Nemotron Ecosystem: Building the Third Generation — Nano, Super, and Ultra",Marc Romeyn,NVIDIA,,,,
From Neurons to Atoms: How PyTorch Powers Open Science at Scale,Elisa Cascardi,Meta,,,,
From Fragmented AI to End-to-End Radiology Reports: Scalable Clinical LLMs with TorchTitan,Jonathan Deonarine,Dell,Khushboo Rathi,Dell Technology,Mozziyar Etemadi,MedikaMind Inc
"Ray All the Way Down: A Heterogeneous, Elastic PyTorch Training Stack at LinkedIn",Tommy Li,LinkedIn,,,,
Gain Geospatial Understanding with the PyTorch Ecosystem,Steven Pousty,Red Hat,,,,
Agentic RL Training in Pytorch,Yichuan Wang,Meta,Shuhua Yu,Meta,,
"Five Bottlenecks, Five Fixes: Systematic Performance Diagnosis for PyTorch Distributed Training",Paulo Aragao,Amazon Web Services,,,,
Open Source Reinforcement Learning with Agent Harnesses,Ben Burtenshaw,Hugging Face,,,,
Extending TorchInductor with FlyDSL: A New MLIR-Native Backend for High-Performance GEMMs,Liz Li,AMD,,,,
"Helion: CuteDSL and TPU Backends for Heterogeneous Hardware, and Why It Suits Agents",Oguz Ulgen,Meta,Dunfan Lu,Meta,Jason Ansel,Meta
High-Velocity GPU Kernel Authoring with CUTLASS Python,Michael Goldfarb US,NVIDIA,Guray Ozen,NVIDIA,,
Smarter Autotuning for Kernels: From Bayesian Optimization to LLM-Guided Search in Helion DSL,Jongsok Choi,Meta,Ethan Che,Meta,,
PerfModel: A Validation-Driven Performance Model for Triton Kernels,Xiaohu Guo,AMD,,,,
JIT Kernel Compilation: How Modular writes fast kernels for any hardware,Stefan Lindall,Modular,,,,
Unlocking PyTorch for Dataflow Accelerators: An Open-Source Kernel Tile IR and Dataflow Scheduler,Prasanth Chatarasi,IBM Research,Bardia Mahjour,IBM,Viji Srinivasan,IBM (Research)
From Weeks to Overnight: Autonomous Day-0 Kernel Bring-Up with Agent Pipelines,Xiaogang Gu,Intel,Qun Yang,Intel,,
Hand-Tuned Metal GEMMs for Apple Silicon,Irakli Salia,HuggingFace,,,,
"Reinforcement Learning Using Simple Code, Running Distributed at Full Speed",Thomas Viehmann,Lightning AI,Teja Pulagam,Lightning AI,,
A Developer’s Guide to Attention in vLLM,Lucas Wilkinson,RedHat,Matthew Bonanni,Red Hat,,
Understanding Modern Vision Language Models,Aastha Jhunjhunwala,NVIDIA,Mark Moyou,NVIDIA,,
From Scratch to PyTorch: Demystifying ML Frameworks by Building Your Own,Andrea Mattia Garavagno,University of Genoa,Vijay Janapa Reddi,Harvard University,,
"What You Cannot Profile, You Cannot Optimize: Learning to Read PyTorch Traces",Aritra Roy Gosthipaty,Hugging Face,Suvaditya Mukherjee,Hugging Face,,
From Math Panic to PyTorch Confidence,Yashasvi Misra,Everpure,,,,
Beyond Size and Stride: Unleash Performance with Device-Aware Tensor Layouts,Olivier Tardieu,IBM,Matthew Arnold,IBM,,
Nested Graph Breaks: Reducing the Cost of Graph Breaks in torch.compile,William Wen,Meta,,,,
Static Tensor Shape Checking for PyTorch with Pyrefly,Steven Troxler,Meta Platforms,Avik Chaudhuri,Meta,,
Monarch - Single-Machine DevX at Distributed Scale,Marius Eriksen,Meta,,,,
Practical GPU Programming with Triton for PyTorch Developers,Suman Debnath,Anyscale,,,,
State-of-the-Art KV Transfer for Disaggregated LLM Serving in vLLM,Nicolò Lucchesi,Mistral AI,Sunita Nadampalli,Amazon,Zhanqiu Hu,Red Hat
Native Tiered KV Cache Offloading in vLLM: From Storage Offloading to Disaggregated Serving,Or Ozeri,IBM,,,,
Faster LLM Serving Startup with fastsafetensors,Takeshi Yoshimura,IBM,,,,
LMCache: a cluster-wide open-source solution for LLM prompt caching,Kuntai Du,"Tensormesh, Inc.",,,,
"One Model Definition, Many Accelerators: Scaling vLLM Across Hardware Without Forks",Thomas Parnell,IBM,Richard Zou,Meta,,
Portable PyTorch Across AI Accelerators: A Triton Operator Stack from Eager Mode to vLLM,Yonghua Lin,Beijing Academy of Artificial Intelligence,,,,
vLLM KV Cache Management for Model-Specific Requirements,Mengqing Cao,Huawei,,,,
"Building Portable, Composable Local Agents with ExecuTorch",Mergen Nachin,Meta Platform Inc.,Digant Desai,Meta,,
Who Owns Production When the Agent Does the Fixing? Governance in AI-Assisted SRE,Prakshal Doshi,Apple,Aditi Mewada,Apple,,
"Compute, Latency, and Safety: Architecting Stateful Guardrails for Multi-Agent Workflows",Purva Chiniya,Amazon.com,,,,
Privacy-Preserving AI Across Institutions: Federated Learning Lessons for Medical Imaging,Sudhanshu Shrivastava,UC Davis,,,,
Closing the Confidence Gap: Making AI Output Trustworthy in Enterprise Systems,Ravi Teja Prabhala Venkata,Capital One,,,,
"Fast, Small, Accurate: Optimizing Models for Inference using FP4 Quantization",Zhiyu Cheng US,NVIDIA,,,,
SGLang-Diffusion: High Performance Serving Framework for Offline and Real-time Diffusion Models,Yihao Wang,RadixArk,,,,
"Future of Distributed Communication in PyTorch: New APIs for Fault Tolerance, RDMA and Extensibility",Tristan Rice,"Meta, PyTorch Distributed",Kapil Sharma,Meta,,
Efficient MoE LLM Inference on Arm with vLLM and OpenVINO,Abhishek Jain,Fujitsu Research of India Private Limited,N Maajid Khan,Fujitsu Research of India Private Limited,,
XCCL: Scaling PyTorch Collectives to Exascale on Intel GPUs with TorchComms,Panagiotis Kourdis,Intel,Tanima Dey,Intel Corporation,,
TorchNeuron: Native PyTorch on AWS Trainium - From Research to Production Without Compromise,Yahav Biran,Annapurna Labs,,,,
TorchInsights: Zero-GPU Memory & Runtime Estimation for Distributed Training and Agentic Research,Sanket Jayant Purandare,Meta,Aditya Venkataraman,Meta,,
Relay and Reuse: The Dual Engine Behind PyTorch Out-of-Tree Release Readiness,Jiahao Chen,Huawei,Jiahao Tan,Huawei,,
Shipping PyTorch and Its Ecosystem: A Modern Release Story,Andrey Talman,Meta,,,,
Scaling PyTorch's Compatibility Promise: A Tiered Cross-Repository CI Relay for Out-of-Tree Backends,Subin George,Red Hat LLC,Jewel K M,Red Hat,,
"PyTorch Generalization: A Journey Toward Write Once, Run Anywhere",Yu Guangye,Intel,Eikan Wang,Intel,,
"Fighting Agents with Agents  Bringing Claude to PyTorch CI, triage, and PR review",Driss Guessous,Meta,,,,
KernelAgent: Hardware-Guided GPU Kernel Optimization via Multi-Agent Orchestration,Kaiming Cheng,Meta,Laura Wang,Meta,,
Scaling Foundation Models: From Broken to Near-Linear Multi-Node Training,Sheng Huang,Pinterest,,,,
EP-Overlap: Hiding Expert-Parallel Communication in MoE Training,Sanket Jayant Purandare,Meta,,,,
Keeping GPUs Busy: High-Speed Storage for PyTorch via fsspec,Ankita Luthra,Google Inc,Trinadh Kotturu,Google,,
Observability Tooling for Cudagraph Workloads,Natalia Gimelshein,Meta,Driss Guessous,Meta,,
rocSHMEM Symmetric Memory in PyTorch for AMD GPUs,Prachi Gupta,AMD,,,,
Integrating the IBM Spyre Accelerator,David Grove,IBM,Antoni Viros i Martin,IBM Research,Avery Blanchard,IBM
Sponsored: PyTorch for Agentic AI: Scaling Heterogeneous Systems from CPU to XPU,Huma Abidi,Intel Corporation,Eikan Wang,Intel,,
Contributing to PyTorch with AI agents,Edward Yang,Meta,,,,
Sponsored: PyTorch Ecosystem Running Natively on Trainium,Maen Suleiman,Amazon Web Services,,,,
Guardrails at the Infrastructure Layer: Sandboxing and governing Agentic AI in production,Sai Charan Teja Gopaluni,Amazon Web Services,Aaresh Sharma,Amazon Web Services,,
Sponsored: Quantization Showdown: PyTorch Inference Optimization,Markell Rawls,Red Hat,,,,
Ecosystem Working Group: Unlocking Community Impact Through the PyTorch Landscape,Joseph Groenenboom,Red Hat,Chris Hoge,NVIDIA,,
